年份,城镇常住居民人均可支配收入,城镇常住居民人均消费支出,农村常住居民人均可支配收入,农村常住居民人均消费支出
1978,343,311,134,116
1979,387,361,161,135
1980,478,412,191,162
1981,458,457,223,191
1982,495,471,270,220
1983,526,506,310,248
1984,608,559,355,274
1985,739,673,398,317
1986,900,799,424,357
1987,1002,884,463,398
1988,1181,1104,545,477
1989,1376,1211,602,535
1990,1510,1279,686,585
1991,1701,1454,709,620
1992,2027,1672,784,659
1993,2577,2111,922,770
1994,3496,2851,1221,1017
1995,4283,3538,1578,1310
1996,4839,3919,1926,1572
1997,5160,4186,2090,1617
1998,5425,4322,2162,1590
1999,5854,4616,2210,1577
2000,6280,4993,2253,1670
2001,6860,5309,2366,1741
2002,7703,6030,2476,1834
2003,8472,6511,2622,1913
2004,9122,7182,2936,2185
2005,10493,7943,3255,2555
2006,11759,8697,3587,2829
2007,13786,9997,4140,3224
2008,15781,11243,4761,3661
2009,17175,12265,5153,3994
2010,19109,13472,5919,4382
2011,21810,15160,6977,5221
2012,24565,16674,7917,5908
2013,26467,18488,9130,7185
2014,28844,19968,10189,8383
2015,31195,21392,11422,9223
2016,33616,23079,12363,10130
2017,36396,24445,13432,10955
2018,39251,26112,14617,12124
